code,id,level,name,description,path
24214,POjzXL03Omy,4,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,Facility,/CLmPcJmOc90/N4pRUs2e6nC/mHHDuaNQ0cg/POjzXL03Omy
27326,EdGZEFRwSsq,4,Abdigaaney Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/argk7SYQTLp/EdGZEFRwSsq
17009,XKBAh7KIgEE,4,Abdisamad Dispensary,Facility,/CLmPcJmOc90/bSpKE38mB85/Vl4Hk1IjI8j/XKBAh7KIgEE
20689,nvmTnml42vP,4,Abdiwaqo Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/RSoPwTBUXAF/nvmTnml42vP
10002,QwS9Mf47ywT,4,Aberdare  Medical & Surgical Clinic,Facility,/CLmPcJmOc90/i7hqxf9ShvM/Vq7jwqQTimA/QwS9Mf47ywT
21416,B3p04N8VDQ1,4,Aberdare Medical Centre Ltd,Facility,/CLmPcJmOc90/xtHuM0oS6KO/JOoFtKjDGv8/B3p04N8VDQ1
13461,p7tA3aJtGVI,4,Abidha Health Centre,Facility,/CLmPcJmOc90/dH8T2PLdfSP/PzZX2vLsHlf/p7tA3aJtGVI
24008,m1Q2FPa5SAh,4,Abigael Health Care Centre,Facility,/CLmPcJmOc90/UXYPH7r9pX8/pRWNi6nroWg/m1Q2FPa5SAh
24871,IRFoKwecCVu,4,ABISHAG MEDICAL CLINIC,Facility,/CLmPcJmOc90/NgMqkVjFIKY/JBJJTWdwdxx/IRFoKwecCVu
16716,VJQnjVXfJnF,4,Able Medical Clinic,Facility,/CLmPcJmOc90/Ix2Au4Km9ew/kau67MwiZxx/VJQnjVXfJnF
23541,RYgz5ESqBmn,4,Aboge Health Centre,Facility,/CLmPcJmOc90/nHQUNlWL1nk/qinpIGVnCOf/RYgz5ESqBmn
26429,lAhyjqtv9ni,4,Abogeta Health Centre,Facility,/CLmPcJmOc90/FMHWPDvWvXw/ehGO9IZ3uDu/lAhyjqtv9ni
15789,jcuMBsqhafx,4,Aboloi Dispensary,Facility,/CLmPcJmOc90/dza0Una0env/zoVP72AS9VI/jcuMBsqhafx
19441,N89xF6TvMkw,4,ABRA Health Services,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Q0f8XHuM3Ge/N89xF6TvMkw
19562,FhAG0Rcsq8V,4,Abraham Memorial Nursing Home,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/FhAG0Rcsq8V
10004,bgu2Z2txJ7K,4,Abrahams Clinic,Facility,/CLmPcJmOc90/sCn0duT9QVP/ydg82WxmfJM/bgu2Z2txJ7K
21999,xiPPya5ddKD,4,ABRAR HEALTH SERVICES-BANISA,Facility,/CLmPcJmOc90/QNdmZLCO1Kg/HdxDXAFCpn5/xiPPya5ddKD
20524,iWuXby9uYxE,4,Absalom Wangulu Dispensary,Facility,/CLmPcJmOc90/nHQUNlWL1nk/C1NTwo9Pzo7/iWuXby9uYxE
19897,yTV6GOV9GrG,4,Abundant Life Clinic,Facility,/CLmPcJmOc90/nHQUNlWL1nk/WYXUeMuvgPq/yTV6GOV9GrG
23596,v3TKI0T4hu5,4,Abundant Medical Clinic,Facility,/CLmPcJmOc90/JVu73wvtLRy/HJm2GuUJEV7/v3TKI0T4hu5
25228,RMwRLWyP6HS,4,Abuoro Dispensary,Facility,/CLmPcJmOc90/ZvksxUQ3Rnc/JnusIS3qp5D/RMwRLWyP6HS
19980,gG9aTPJDlet,4,Acacia Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/vrvHKMOXRpN/gG9aTPJDlet
26322,awJ9K35OnKy,4,Acacia Medical Clinic,Facility,/CLmPcJmOc90/c0jA5INU9JM/xZ2pcMhbm5v/awJ9K35OnKy
14184,S3tLJ19PT8g,4,Acacia Medicare Clinic,Facility,/CLmPcJmOc90/N7YLmjBdnTj/ukbFoVU66iD/S3tLJ19PT8g
25052,yP3d6TqBzUR,4,ACC&S Chomo Community Dispensary,Facility,/CLmPcJmOc90/xtHuM0oS6KO/hGMEgDclKYv/yP3d6TqBzUR
18965,mzWwNEZkxHn,4,Acc&s Kariua Dispensary,Facility,/CLmPcJmOc90/xtHuM0oS6KO/HASSVdGr7fC/mzWwNEZkxHn
24937,dhlQhkgiggi,4,ACC&S Kigumo Dispensary,Facility,/CLmPcJmOc90/xtHuM0oS6KO/JOoFtKjDGv8/dhlQhkgiggi
25650,kU1l9Xaya4n,4,Access Afya Baba dogo,Facility,/CLmPcJmOc90/N4pRUs2e6nC/asYUdIrpnnY/kU1l9Xaya4n
19467,IIfh2B7JWi4,4,Access Afya Kenya Medical Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/mHHDuaNQ0cg/IIfh2B7JWi4
23850,TNWBYWQyDFp,4,Access Afya Kiambiu,Facility,/CLmPcJmOc90/N4pRUs2e6nC/IqSQWJxqfMk/TNWBYWQyDFp
24002,yTbhRfYKSQV,4,Access Afya Kwa Reuben Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/S0qLFGryYc9/yTbhRfYKSQV
24878,ZI8brLazvBe,4,Access Afya Mathare,Facility,/CLmPcJmOc90/N4pRUs2e6nC/sllwxTqiiDX/ZI8brLazvBe
26256,ZbpR3VNSJNn,4,Accucare Clinic and Home Based Nursing,Facility,/CLmPcJmOc90/JVu73wvtLRy/HJm2GuUJEV7/ZbpR3VNSJNn
20823,Bb3fVDpH9cW,4,Ace Africa K Wellness Centre,Facility,/CLmPcJmOc90/ARXMjK29sXR/bo1No7ym5T4/Bb3fVDpH9cW
27151,EmMZUAcoIBL,4,Ace Northern Hospital LTD,Facility,/CLmPcJmOc90/dmDogAeDBUk/q67BVOnet4Y/EmMZUAcoIBL
12791,rZxx95pFgUo,4,Acef Ena Health Centre,Facility,/CLmPcJmOc90/vPrDemu8VcX/E9jTqHtFL3p/rZxx95pFgUo
27171,ZrjSpqO5sSh,4,Acela Community Clinic,Facility,/CLmPcJmOc90/dH8T2PLdfSP/Lcef7o56qmj/ZrjSpqO5sSh
11918,OrRPvowgk9y,4,ACK Dispensary Isiolo,Facility,/CLmPcJmOc90/lbeoP5aqj46/UOl8Z0tmDNm/OrRPvowgk9y
17513,ICfgpo63CM8,4,ACK Dr Pike Roper Medical Center,Facility,/CLmPcJmOc90/ARXMjK29sXR/bo1No7ym5T4/ICfgpo63CM8
24590,bu3YYEXXD0j,4,ACK Emmanuel Mission Hospital,Facility,/CLmPcJmOc90/JVu73wvtLRy/Qkd6m6jLdhD/bu3YYEXXD0j
21355,IVYNBETMH0b,4,ACK Ikulu Faith Dispensary,Facility,/CLmPcJmOc90/gkETYmAZcrw/TdsBUBboXm9/IVYNBETMH0b
18964,ziBD73hDAMr,4,ACK Leah Njoki Dispensary,Facility,/CLmPcJmOc90/xtHuM0oS6KO/oxtvkm8dUEL/ziBD73hDAMr
19651,exFMb4MZUIU,4,ACK Mwingi CHBC Clinic,Facility,/CLmPcJmOc90/e7rc64pUcS0/Td3gZoNWboD/exFMb4MZUIU
22609,fJDk27uIYKO,4,ACK Nguni Annex Clinic,Facility,/CLmPcJmOc90/e7rc64pUcS0/Td3gZoNWboD/fJDk27uIYKO
15369,xZYto0l5tXx,4,ACK Nturumeti Dispensary,Facility,/CLmPcJmOc90/JUn4vhjBgWE/kk7kmvHJoS8/xZYto0l5tXx
22303,yOLEPk7Hoav,4,ACK OTARO COMMUNITY DISPENSARY,Facility,/CLmPcJmOc90/ZvksxUQ3Rnc/KeCzBLRhXVy/yOLEPk7Hoav
24879,sLqZ7byyjUI,4,ACK St. Stephen's Ralak Medical Clinic,Facility,/CLmPcJmOc90/dH8T2PLdfSP/MyzRwmXK4Wf/sLqZ7byyjUI
11195,WF1lrZB0LQH,4,Acode Medical Clinic Maungu,Facility,/CLmPcJmOc90/agUb3txPLDg/iVwPOV8kQ62/WF1lrZB0LQH
23390,KlTn75c1wFY,4,Action Ministry Clinic,Facility,/CLmPcJmOc90/dKPsXmJYqBs/XvPZgU7ZT8B/KlTn75c1wFY
25978,yf4qPgpro7Z,4,ADADI DISPENSARY,Facility,/CLmPcJmOc90/U2pNYbHjLN9/BSaQHiQxIzr/yf4qPgpro7Z
13266,fTDwIItvGhC,4,Adadijolle Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/FdEcnCKf3Zl/fTDwIItvGhC
11196,TX44lKqQ7SE,4,ADC Danisa Dispensary,Facility,/CLmPcJmOc90/CtmrXMoMKSA/ZggpMHKH6Ze/TX44lKqQ7SE
28120,nMVUOsthMpZ,4,Adel Medical Clinic-,Facility,/CLmPcJmOc90/CtmrXMoMKSA/EXzblQtpgbI/nMVUOsthMpZ
13267,CHCawkGoHdl,4,Ademasajida Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/lrIUWad7D52/CHCawkGoHdl
20357,lK4e26NUG8v,4,Adenawale Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/lrIUWad7D52/lK4e26NUG8v
25609,gGkIs2Hj4L6,4,Adenville Medical Care Centre,Facility,/CLmPcJmOc90/gkETYmAZcrw/wIaXaHsbNyz/gGkIs2Hj4L6
13463,Hh4xHRxzGay,4,Adiedo Dispensary,Facility,/CLmPcJmOc90/ZvksxUQ3Rnc/svxB4EfzFh0/Hh4xHRxzGay
13464,s0g77PxDehc,4,Administration Police Dispensary Kisumu,Facility,/CLmPcJmOc90/nHQUNlWL1nk/WYXUeMuvgPq/s0g77PxDehc
18171,QcDqNBTT7qZ,4,Administration Police Senior Staff College Dispensary,Facility,/CLmPcJmOc90/N7YLmjBdnTj/J6eMVXbvPJw/QcDqNBTT7qZ
20479,g3DbxroKxjY,4,Adoma Medical Clinic,Facility,/CLmPcJmOc90/cdeCA6ClJDU/faSDf7otkC2/g3DbxroKxjY
23590,Tv9lbh7Udv1,4,Adonai Medical Clinic,Facility,/CLmPcJmOc90/Ix2Au4Km9ew/kau67MwiZxx/Tv9lbh7Udv1
22344,c448t9m2EOF,4,Adonai Medical Services,Facility,/CLmPcJmOc90/JVu73wvtLRy/UhPC74YNAyL/c448t9m2EOF
21294,X8N4tnH3XqZ,4,Adopta Life Foundation Ruai,Facility,/CLmPcJmOc90/N4pRUs2e6nC/UXrdyWmFLV4/X8N4tnH3XqZ
24093,WP4XnDnLv2B,4,Adora Children's Clinic,Facility,/CLmPcJmOc90/N7YLmjBdnTj/J6eMVXbvPJw/WP4XnDnLv2B
11198,VpF7xpYt701,4,Adu Dispensary,Facility,/CLmPcJmOc90/CtmrXMoMKSA/ZggpMHKH6Ze/VpF7xpYt701
21741,KjWiKpSDoXg,4,Adungosi Medical Clinic,Facility,/CLmPcJmOc90/dza0Una0env/eISW8iXCAWT/KjWiKpSDoXg
14185,pTdMOD7ZBVh,4,Adurkoit Dispensary,Facility,/CLmPcJmOc90/aPCBHNMsdxf/VwYi31oY4Gd/pTdMOD7ZBVh
28433,t4QyZ8saChX,4,Advance Care Dental Centre,Facility,/CLmPcJmOc90/nHQUNlWL1nk/WYXUeMuvgPq/t4QyZ8saChX
26944,kRwA9KpYMtD,4,Advanced Cancer Centre,Facility,/CLmPcJmOc90/NsXCqczzCvt/UYlsOf5T24j/kRwA9KpYMtD
24675,kClkLmBrIz0,4,Advent Medicare and Maternity Center,Facility,/CLmPcJmOc90/DDLOpuTc53A/cKHrvsRr9cT/kClkLmBrIz0
18535,tOaZJ7thzh7,4,Adventist Centre for Care and Support,Facility,/CLmPcJmOc90/N4pRUs2e6nC/vrvHKMOXRpN/tOaZJ7thzh7
25835,FyISXB7qLHT,4,Aego Sagenya Dispensary,Facility,/CLmPcJmOc90/cdeCA6ClJDU/GmxgzxZ9MsU/FyISXB7qLHT
23406,NhjH6ZXZI8P,4,AFARSHANLE DISPENSARY,Facility,/CLmPcJmOc90/xKAATm8Pwru/eRRbiQeIBRG/NhjH6ZXZI8P
